"id","TypeCode","Type","Name","WardCode","Ward","createdBy","createdDate","lastModifiedBy","lastModifiedDate"
"6d162ab4-9e9f-4036-8b55-dd269efa1d98","3","Corporation","Zone 2-  North","20MC0132W","Madurai (M Corp.) WARD NO.-0032","System","2022-10-15 10:04:26.501845+00","","2022-10-15 10:04:26.501845+00"
"6e3607f1-389c-44d0-b225-acb3418a0260","3","Corporation","Zone 2-  North","20MC0126W","Madurai (M Corp.) WARD NO.-0026","System","2022-10-15 10:04:26.501845+00","","2022-10-15 10:04:26.501845+00"
"6ef8f013-aa64-4d0c-94aa-025d3b06bf1c","3","Corporation","Zone 3- Central","20MC0161W","Madurai (M Corp.) WARD NO.-0061","System","2022-10-15 10:04:26.501845+00","","2022-10-15 10:04:26.501845+00"
"6f7fd143-678d-4bb2-bf9c-92013add8606","2","Municipality","Usilampatti (M)","20MU0324W","Usilampatti (M) WARD NO.-0024","System","2022-10-15 10:04:26.501845+00","","2022-10-15 10:04:26.501845+00"
"7068eace-c9a3-4ada-be35-0e9435aeab00","1","Town Panchayat","Peraiyur (TP)","20TP0607W","Peraiyur (TP) WARD NO.-0007","System","2022-10-15 10:04:26.499928+00","","2022-10-15 10:04:26.499928+00"
"7170550c-3d5c-48a3-8f9c-73578d001a1d","1","Town Panchayat","T.Kallupatti (TP)","20TP0803W","T.Kallupatti (TP) WARD NO.-0002","System","2022-10-15 10:04:26.499928+00","","2022-10-15 10:04:26.499928+00"
"71e62e44-032c-4ce1-8790-2b59d1596082","1","Town Panchayat","Palamedu (TP)","20TP0514W","Palamedu (TP) WARD NO.-0014","System","2022-10-15 10:04:26.498924+00","","2022-10-15 10:04:26.498924+00"
"73179fbc-e902-466a-8f11-56f2802f9f22","1","Town Panchayat","Vilangudi (TP)","20CT2206W","Vilangudi (TP) WARD NO.-0006","System","2022-10-15 10:04:26.49793+00","","2022-10-15 10:04:26.49793+00"
"73a4deb3-cf82-4ef2-8f12-275e34d8409c","3","Corporation","Zone 3- Central","20MC0159W","Madurai (M Corp.) WARD NO.-0059","System","2022-10-15 10:04:26.501845+00","","2022-10-15 10:04:26.501845+00"
"73bb89c3-1dc7-4426-afba-69626c833d69","1","Town Panchayat","Palamedu (TP)","20TP0507W","Palamedu (TP) WARD NO.-0007","System","2022-10-15 10:04:26.498924+00","","2022-10-15 10:04:26.498924+00"
"73f8db27-c42e-478e-8f90-d7d4fc196065","3","Corporation","Zone 5- West","20MC0199W","Madurai (M Corp.) WARD NO.-0099","System","2022-10-15 10:04:26.502928+00","","2022-10-15 10:04:26.502928+00"
"751c1ec5-8923-4e3b-8e84-985376df2b72","2","Municipality","Usilampatti (M)","20MU0302W","Usilampatti (M) WARD NO.-0002","System","2022-10-15 10:04:26.500918+00","","2022-10-15 10:04:26.500918+00"
"75769a5e-86c0-4712-9ab7-0f908a46d4fc","3","Corporation","Zone 2-  North","20MC0165W","Madurai (M Corp.) WARD NO.-0065","System","2022-10-15 10:04:26.501845+00","","2022-10-15 10:04:26.501845+00"
"75c7cf00-2dad-4fbf-8684-11851d0d82ad","1","Town Panchayat","Paravai (TP)","20TP0510W","Paravai (TP) WARD NO.-0010","System","2022-10-15 10:04:26.49793+00","","2022-10-15 10:04:26.49793+00"
"769d7120-1ec0-4cc3-971a-fc5d5a0c8844","1","Town Panchayat","A.Vellalapatti (TP)","20TP01010W","A.Vellalapatti (TP) WARD NO.-0010","System","2022-10-15 10:04:26.49793+00","","2022-10-15 10:04:26.49793+00"
"77273442-45fb-4149-9217-2c3f78d1fd86","1","Town Panchayat","Peraiyur (TP)","20TP0608W","Peraiyur (TP) WARD NO.-0008","System","2022-10-15 10:04:26.499928+00","","2022-10-15 10:04:26.499928+00"
"778a51cc-942f-4d8c-955b-1cbc58cd4ec0","1","Town Panchayat","Sholavandan (TP)","20TP0714W","Sholavandan (TP) WARD NO.-0014","System","2022-10-15 10:04:26.498924+00","","2022-10-15 10:04:26.498924+00"
"77f86403-7577-486f-8ef4-e3e771392795","2","Municipality","Melur (M)","20MU0108W","Melur (M) WARD NO.-0008","System","2022-10-15 10:04:26.500918+00","","2022-10-15 10:04:26.500918+00"
"7806a9e3-666d-446a-88d1-c7cdd99289c7","1","Town Panchayat","Sholavandan (TP)","20TP0717W","Sholavandan (TP) WARD NO.-0017","System","2022-10-15 10:04:26.498924+00","","2022-10-15 10:04:26.498924+00"
"790de912-6f90-4f70-a125-2612c0e31e13","1","Town Panchayat","Thirunagar (TP)","20CT1814W","Thirunagar (TP) WARD NO.-0014","System","2022-10-15 10:04:26.499928+00","","2022-10-15 10:04:26.499928+00"
"79dbd4fd-3e6c-4456-8ffa-e0e3052f5ce8","1","Town Panchayat","Elumalai (TP)","20TP0310W","Elumalai (TP) WARD NO.-0010","System","2022-10-15 10:04:26.499928+00","","2022-10-15 10:04:26.499928+00"
"79ea008f-f35e-4c10-89ab-15bf790bd879","3","Corporation","Zone  1- East","20MC0112W","Madurai (M Corp.) WARD NO.-0012","System","2022-10-15 10:04:26.501845+00","","2022-10-15 10:04:26.501845+00"
"7a79dc5d-68c8-43f4-8bfd-c3e16c0e353c","1","Town Panchayat","Samayanallur (CT)","20CT2301W","Samayanallur (CT) WARD NO.-0001","System","2022-10-15 10:04:26.49793+00","","2022-10-15 10:04:26.49793+00"
"7b5fff5f-e194-4341-98a2-89003720d555","1","Town Panchayat","Kannanendal (CT)","20CT0501W","Kannanendal (CT) WARD NO.-0001","System","2022-10-15 10:04:26.49793+00","","2022-10-15 10:04:26.49793+00"
